Species,Order,Family,Wing.length,Tarsus.length,Weight,Bill.length,Bill.depth,Bill.width,Tail.length,Dev.mode,Dev.stage
Adelomyia melanogenys,Apodiformes,Trochilidae,62,9.3,5.4,18.6,2.1,3,39,Superaltricial,Adult
Adelomyia melanogenys,Apodiformes,Trochilidae,62,8,5.2,17.3,1.9,2.9,40,Superaltricial,Adult
Adelomyia melanogenys,Apodiformes,Trochilidae,54,6,3,17,2,2.5,34,Superaltricial,Adult
Aglaeactis cupripennis,Apodiformes,Trochilidae,92,7.53,6.94,25.24,1.58,3.09,52,Superaltricial,Adult
Boissonneaua flavescens,Apodiformes,Trochilidae,79.8,7.3,7,21,2.8,3,46.8,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,64,5.92,6.09,14.79,1.56,2.18,51,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,70,5.78,6.19,15.28,1.6,2.22,56,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,74,6.51,5.5,16.08,1.68,2.34,59,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,65,5.6,5.04,14,1.57,1.93,51,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,68,5.76,5.54,15.49,2.27,2.43,50,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,69,4.79,5.54,15.69,1.96,2.1,50,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,71,5.68,5.97,14.25,1.87,2.14,52,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,72,6.34,5.85,15.54,1.89,2.26,58,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,69,7.41,5.6,13.49,1.62,2.25,51,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,70,5.4,5.46,15.07,1.72,2.23,55,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,67,6.59,6,15.42,1.87,2.43,57,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,74,6.64,5.81,14.61,1.93,2.2,57,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,61,5.2,5,16.5,2.2,2.2,45,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,69,7.3,6.1,16.2,1.9,1.8,52,Superaltricial,Adult
Chalcostigma herrani,Apodiformes,Trochilidae,70,7.8,6.1,18.2,1.7,2.2,50,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,72,7.1,8,17,2.2,2.3,61,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,66.2,7.3,5,15,2.2,2.4,50,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,61.2,6.5,6,17,2.1,2.8,53.4,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,66.4,7.2,6,14.5,2,2.2,57.5,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,70.4,7.3,6,17.3,2,2.2,62.8,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,62.4,6.2,4,15.2,1.7,2.4,48.7,Superaltricial,Adult
Chalcostigma heteropogon,Apodiformes,Trochilidae,61,6.3,6,14,2,2.3,50,Superaltricial,Adult
Coeligena bonapartei,Apodiformes,Trochilidae,70.63,5.42,6.7,33.83,1.91,2.34,35.64,Superaltricial,Adult
Coeligena bonapartei,Apodiformes,Trochilidae,71,5.6,6.6,35.2,2.4,2.6,39,Superaltricial,Adult
Coeligena bonapartei,Apodiformes,Trochilidae,74,5.8,7.48,32.4,1.9,2.5,44,Superaltricial,Adult
Coeligena bonapartei,Apodiformes,Trochilidae,73.5,7,6,37.3,2.1,3,42.4,Superaltricial,Adult
Coeligena bonapartei,Apodiformes,Trochilidae,71,7.8,6,33.2,2.5,3.1,43,Superaltricial,Adult
Coeligena helianthea,Apodiformes,Trochilidae,67,7,7,40.6,2.5,2.6,40,Superaltricial,Adult
Coeligena helianthea,Apodiformes,Trochilidae,69.7,6.8,7,36.6,2.4,2.6,45,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,82,5.12,6.45,38.98,1.77,2.74,46,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,77,6.86,8,39.92,2.52,2.54,48,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,75,5.38,7,41.63,2.29,3.09,52,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,72,4.5,7.38,32.17,2.15,2.77,51,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,67.57,4.22,6.68,38.02,2.22,3.15,44.87,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,78.1,7.4,7.9,39,2.5,2.5,42,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,71,7,7.4,41.7,1.8,3,46,Superaltricial,Adult
Coeligena lutetiae,Apodiformes,Trochilidae,71.9,8,7.5,34.1,2.3,3.1,49.5,Superaltricial,Adult
Coeligena orina,Apodiformes,Trochilidae,72,5.83,6,37.26,2.36,3.14,53.83,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,77,4.4,8.03,39.69,2.2,2.31,48,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,85,6.21,8,38.15,2.69,2.65,50,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,85,6.21,8,38.15,2.69,2.65,50,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,82,4.65,7.05,35.37,2.32,1.75,52,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,74.52,7.76,6.73,35.37,2.46,3.1,42.32,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,72.82,3.98,4,37.6,2.33,3.04,49.17,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,76.24,5.18,5,38.62,2.85,2.59,45.97,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,70,5.68,4,35.87,2.49,1.87,42.21,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,69,5.69,5,39.5,2.52,2.11,34.98,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,68,5.43,7,37.82,2.24,1.99,42.33,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,73.68,5.73,7,37.73,2.73,3.36,44.77,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,68.66,5.84,8,42.95,2.25,2.32,44.54,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,76.57,5.05,7.26,37.36,2.49,2.82,48.35,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,79.54,7.22,4,37.16,2.28,2.71,45.42,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,68.04,6.02,4,37.86,2.48,3.14,43.06,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,79,7.5,7.8,36,1.8,1.8,45,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,71,6.5,7,41.8,2.4,3,45,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,78,7.8,5.7,39.8,1.8,2.7,46,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,70,6.5,6.8,40.6,2.7,3.4,43,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,81,7,7,39.5,2,2.8,50,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,80,5.7,7.3,35.6,2.3,2.3,47,Superaltricial,Adult
Coeligena torquata,Apodiformes,Trochilidae,78,6.5,7.4,40.2,2.5,2.8,57,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,88,6.6,6.9,30.37,2.09,2.52,62,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,78,5.8,6.7,32.14,2.34,3.1,54,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,66,5.38,7,26.66,1.88,2.62,43,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,74.28,8.21,7,29.97,2.2,2.38,53.72,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,83,7.8,8.8,28.2,2.3,3,53,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,73,5.4,7,27.7,2,3.8,46,Superaltricial,Adult
Colibri coruscans,Apodiformes,Trochilidae,73.3,7,5,32.8,2.4,3.3,51.7,Superaltricial,Adult
Colibri thalassinus,Apodiformes,Trochilidae,61,5.99,5,32.51,1.9,2.77,44.96,Superaltricial,Adult
Colibri thalassinus,Apodiformes,Trochilidae,58,5.8,4,25.5,2.2,2,41.7,Superaltricial,Adult
Doryfera ludovicae,Apodiformes,Trochilidae,63.52,5.56,6.49,41.14,2.57,3.8,32.97,Superaltricial,Adult
Doryfera ludovicae,Apodiformes,Trochilidae,57,6.3,5,33.8,2.4,2.4,38,Superaltricial,Adult
Doryfera ludovicae,Apodiformes,Trochilidae,62,7.5,6.3,36.8,2.2,3.2,35,Superaltricial,Adult
